symbol,provider,coverage_status,row_count,first_date,last_date,coverage_years,adjusted_status,created_at,research_only,not_trading_signal
SPY.US,eodhd,available,8386,1993-01-29,2026-05-22,33.31,adjusted,2026-05-25T19:33:04.443178+00:00,True,True
QQQ.US,eodhd,available,6844,1999-03-10,2026-05-22,27.2,adjusted,2026-05-25T19:33:04.443178+00:00,True,True
IWM.US,eodhd,available,6536,2000-05-26,2026-05-22,25.99,adjusted,2026-05-25T19:33:04.443178+00:00,True,True
TLT.US,eodhd,available,5995,2002-07-26,2026-05-22,23.82,adjusted,2026-05-25T19:33:04.443178+00:00,True,True
GLD.US,eodhd,available,5411,2004-11-18,2026-05-22,21.51,adjusted,2026-05-25T19:33:04.443178+00:00,True,True
XLK.US,eodhd,available,6896,1998-12-22,2026-05-22,27.41,adjusted,2026-05-25T19:33:04.443178+00:00,True,True
XLF.US,eodhd,available,6896,1998-12-22,2026-05-22,27.41,adjusted,2026-05-25T19:33:04.443178+00:00,True,True
XLE.US,eodhd,available,6896,1998-12-22,2026-05-22,27.41,adjusted,2026-05-25T19:33:04.443178+00:00,True,True
SMH.US,eodhd,available,6551,2000-05-05,2026-05-22,26.05,adjusted,2026-05-25T19:33:04.443178+00:00,True,True
SOXX.US,eodhd,available,6252,2001-07-13,2026-05-22,24.86,adjusted,2026-05-25T19:33:04.443178+00:00,True,True
